Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
Endothelial Cells,Tgfb1,Eng,Endothelial Cells,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.5,1.005502,2.011004,1.0,1.0,1.29006912102,0.5073279985971547,5.16027648408,0.324227427720812
Neutrophils,Tgfb1,Eng,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.5,1.005502,2.011004,1.0,1.0,0.4431693086553333,0.1742791876314582,2.659015851932,0.1670697050052503
Cancer Cell,Tgfb1,Sdc2,Cancer Cell,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.2,0.11764274,0.5882137,1.0,1.0,0.094726087183562,0.318392813771387,2.36815217958905,0.5087028672739377
Endothelial Cells,Tgfb1,Sdc2,Cancer Cell,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.2,0.11764274,0.5882137,1.0,1.0,0.1509368118474,0.5073279985971547,1.509368118474,0.324227427720812
Neutrophils,Tgfb1,Sdc2,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.2,0.11764274,0.5882137,1.0,1.0,0.05185037101280666,0.1742791876314582,0.7777555651921,0.1670697050052503
Cancer Cell,Tgfb1,Tgfbr1,Cancer Cell,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.2,0.16947482,0.8473741,1.0,1.0,0.136461345381266,0.318392813771387,3.41153363453165,0.5087028672739377
Endothelial Cells,Tgfb1,Tgfbr1,Cancer Cell,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.2,0.16947482,0.8473741,1.0,1.0,0.2174378888082,0.5073279985971547,2.174378888082,0.324227427720812
Neutrophils,Tgfb1,Tgfbr1,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.2,0.16947482,0.8473741,1.0,1.0,0.07469506655768667,0.1742791876314582,1.1204259983653,0.1670697050052503
Cancer Cell,Tgfb1,Itgb8,Cancer Cell,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,2,0.4,0.23784854,1.1892427,1.0,1.0,0.191515953611102,0.318392813771387,4.78789884027755,0.5087028672739377
Endothelial Cells,Tgfb1,Itgb8,Cancer Cell,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,2,0.4,0.23784854,1.1892427,1.0,1.0,0.3051620553054,0.5073279985971547,3.051620553054,0.324227427720812
Neutrophils,Tgfb1,Itgb8,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,2,0.4,0.23784854,1.1892427,1.0,1.0,0.1048303961966067,0.1742791876314582,1.5724559429491,0.1670697050052503
Cancer Cell,Tgfb1,Acvrl1,Endothelial Cells,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.5,0.638843,1.277686,1.0,1.0,0.5143972140959,0.318392813771387,5.143972140959001,0.5087028672739377
Endothelial Cells,Tgfb1,Acvrl1,Endothelial Cells,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.5,0.638843,1.277686,1.0,1.0,0.81964195743,0.5073279985971547,3.27856782972,0.324227427720812
Neutrophils,Tgfb1,Acvrl1,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.5,0.638843,1.277686,1.0,1.0,0.2815664321396667,0.1742791876314582,1.689398592838,0.1670697050052503
Cancer Cell,Tgfb1,Itgav,Cancer Cell,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.09678986642754,0.03920840145411755,2.4197466606885,0.1110334915758796
Cancer Cell,Tgfb1,Itgav,Endothelial Cells,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.33430677705933,0.1354236224056284,3.3430677705933,0.1534013841920743
Cancer Cell,Tgfb1,Itgav,Neutrophils,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.3548879101676333,0.143760789911641,5.323318652514501,0.2442679915059838
Endothelial Cells,Tgfb1,Itgav,Cancer Cell,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.154225243458,0.06247477636914813,1.54225243458,0.07076843021826677
Endothelial Cells,Tgfb1,Itgav,Endothelial Cells,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.5326853521409999,0.2157843781209062,2.130741408564,0.0977720775822261
Endothelial Cells,Tgfb1,Itgav,Neutrophils,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.56547938711,0.2290688441071003,3.39287632266,0.1556869199203192
Neutrophils,Tgfb1,Itgav,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.0529800251838,0.02146156589657858,0.7947003777570001,0.03646594874271811
Neutrophils,Tgfb1,Itgav,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.1829900393651,0.07412704646000166,1.0979402361906,0.05038053774241026
Neutrophils,Tgfb1,Itgav,Neutrophils,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.1942555673654445,0.07869057527487798,1.748300106289,0.08022321852012197
Cancer Cell,Tgfb1,Vasn,Cancer Cell,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,2,0.4,0.1911959,0.9559795,1.0,1.0,0.15395118723467,0.318392813771387,3.84877968086675,0.5087028672739377
Endothelial Cells,Tgfb1,Vasn,Cancer Cell,2,1.0,1.28301,2.56602,0.5073279985971547,0.324227427720812,2,0.4,0.1911959,0.9559795,1.0,1.0,0.245306251659,0.5073279985971547,2.45306251659,0.324227427720812
Neutrophils,Tgfb1,Vasn,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.1742791876314582,0.1670697050052503,2,0.4,0.1911959,0.9559795,1.0,1.0,0.08426850948156667,0.1742791876314582,1.2640276422235,0.1670697050052503
Cancer Cell,Anxa1,Fpr1,Neutrophils,5,1.0,0.95900026,4.7950013,1.0,1.0,1,0.3333333333333333,0.8377313333333333,2.513194,1.0,1.0,0.8033845664768133,1.0,12.0507684971522,1.0
Cancer Cell,Anxa1,Dysf,Endothelial Cells,5,1.0,0.95900026,4.7950013,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,0.3981616598478659,1.0,3.981616598478659,1.0
Endothelial Cells,Icam2,Itgam,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,1,0.3333333333333333,0.6217996666666669,1.865399,1.0,1.0,0.2581613349853,1.0,1.5489680099118,1.0
Cancer Cell,Kitl,Kit,Cancer Cell,2,0.4,0.24804246,1.2402123,1.0,1.0,1,0.2,0.07355315999999999,0.3677658,1.0,1.0,0.0182443067471736,1.0,0.45610766867934,1.0
Cancer Cell,Plat,Lrp1,Cancer Cell,3,0.6,0.4923067,2.4615335,1.0,1.0,2,0.4,0.19375896,0.9687948,1.0,1.0,0.09538883419303198,1.0,2.3847208548258,1.0
Endothelial Cells,Adm,Ramp2,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,2,1.0,2.814566,5.629132,1.0,1.0,1.813050536522,1.0,7.252202146088001,1.0
Endothelial Cells,Adm,Calcrl,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,0.2674478961447,1.0,1.0697915845788,1.0
Cancer Cell,Igfbp4,Lrp6,Cancer Cell,1,0.2,0.10569918,0.5284959,0.06837053219362416,0.1550273743506583,2,0.4,0.3474412,1.737206,0.4555857247327095,0.676594273302793,0.036724249938216,0.03114863845979331,0.9181062484554,0.1048906336908237
Cancer Cell,Igfbp4,Lrp6,Endothelial Cells,1,0.2,0.10569918,0.5284959,0.06837053219362416,0.1550273743506583,1,0.5,0.4151840999999999,0.8303681999999999,0.5444142752672905,0.323405726697207,0.043884618919038,0.03722189373383085,0.4388461891903799,0.0501367406598346
Endothelial Cells,Igfbp4,Lrp6,Cancer Cell,1,0.5,1.4402765,2.880553,0.9316294678063758,0.8449726256493416,2,0.4,0.3474412,1.737206,0.4555857247327095,0.676594273302793,0.5004113954918,0.4244370862729162,5.004113954918,0.5717036396119692
Endothelial Cells,Igfbp4,Lrp6,Endothelial Cells,1,0.5,1.4402765,2.880553,0.9316294678063758,0.8449726256493416,1,0.5,0.4151840999999999,0.8303681999999999,0.5444142752672905,0.323405726697207,0.59797990240365,0.5071923815334596,2.3919196096146,0.2732689860373723
Cancer Cell,Cxcl10,Sdc4,Cancer Cell,3,0.6,1.09403638,5.4701819,0.5347916809790378,0.6570594989872911,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,2.1655410807539,0.4420672119856857,54.1385270188475,0.6061989307863437
Cancer Cell,Cxcl10,Sdc4,Endothelial Cells,3,0.6,1.09403638,5.4701819,0.5347916809790378,0.6570594989872911,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.4542265097975579,0.09272446899335211,4.542265097975579,0.05086056820094734
